EXCH_ID,SEGMENT,SECURITY_ID,ISIN,INSTRUMENT,UNDERLYING_SECURITY_ID,UNDERLYING_SYMBOL,SYMBOL_NAME,DISPLAY_NAME,INSTRUMENT_TYPE,SERIES,LOT_SIZE,SM_EXPIRY_DATE,STRIKE_PRICE,OPTION_TYPE,TICK_SIZE,EXPIRY_FLAG,BRACKET_FLAG,COVER_FLAG,ASM_GSM_FLAG,ASM_GSM_CATEGORY,BUY_SELL_INDICATOR,BUY_CO_MIN_MARGIN_PER,SELL_CO_MIN_MARGIN_PER,BUY_CO_SL_RANGE_MAX_PERC,SELL_CO_SL_RANGE_MAX_PERC,BUY_CO_SL_RANGE_MIN_PERC,SELL_CO_SL_RANGE_MIN_PERC,BUY_BO_MIN_MARGIN_PER,SELL_BO_MIN_MARGIN_PER,BUY_BO_SL_RANGE_MAX_PERC,SELL_BO_SL_RANGE_MAX_PERC,BUY_BO_SL_RANGE_MIN_PERC,SELL_BO_SL_MIN_RANGE,BUY_BO_PROFIT_RANGE_MAX_PERC,SELL_BO_PROFIT_RANGE_MAX_PERC,BUY_BO_PROFIT_RANGE_MIN_PERC,SELL_BO_PROFIT_RANGE_MIN_PERC,MTF_LEVERAGE,Unnamed: 39,symbol,YahooSymbol,sector_yahoo,industry_yahoo,market_cap,sector,cap_category
NSE,E,14278,INE607D01018,EQUITY,,ORIENTBELL,ORIENT BELL LIMITED,Orient Bell,ES,EQ,1.0,,,,5.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.0,,ORIENTBELL,ORIENTBELL.NS,Industrials,Building Products & Equipment,4119794688.0,Industrials,SMALL_CAP
NSE,E,14286,INF769K01JP9,EQUITY,,GOLDETF,MIRAEAMC - MAGOLDETF,Mirae Asset Gold ETF,ETF,EQ,1.0,,,,1.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.773585,,GOLDETF,GOLDETF.NS,,,,UNKNOWN,UNKNOWN
NSE,E,14296,INE807F01027,EQUITY,,SEQUENT,SEQUENT SCIENTIFIC LTD.,Sequent Scientific,ES,EQ,1.0,,,,1.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.73224,,SEQUENT,SEQUENT.NS,Healthcare,Drug Manufacturers - Specialty & Generic,57578459136.0,Healthcare,MID_CAP
NSE,E,14299,INE134E01011,EQUITY,,PFC,POWER FIN CORP LTD.,Power Finance Corporation,ES,EQ,1.0,,,,5.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.025765,,PFC,PFC.NS,Financial Services,Credit Services,1238033104896.0,Financial Services,LARGE_CAP
NSE,E,14304,INE684F01012,EQUITY,,FSL,FIRSTSOURCE SOLU. LTD.,Firstsource Solutions,ES,EQ,1.0,,,,5.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.941176,,FSL,FSL.NS,Technology,Information Technology Services,251916812288.0,Technology,LARGE_CAP
NSE,E,14309,INE562A01011,EQUITY,,INDIANB,INDIAN BANK,Indian Bank,ES,EQ,1.0,,,,5.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.255319,,INDIANB,INDIANB.NS,Financial Services,Banks - Regional,1171522584576.0,Financial Services,LARGE_CAP
NSE,E,14314,INE592B01024,EQUITY,,TTL,T T LIMITED,TTL,ES,EQ,1.0,,,,1.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,TTL,TTL.NS,Consumer Cyclical,Textile Manufacturing,2381626880.0,Consumer Cyclical,SMALL_CAP
NSE,E,14319,INE804H01012,EQUITY,,TFL,TRANSWARRANTY FIN. LTD.,Transwarranty Finance,ES,EQ,1.0,,,,1.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,TFL,TFL.NS,Financial Services,Mortgage Finance,692493312.0,Financial Services,SMALL_CAP
NSE,E,14329,INE812G01025,EQUITY,,SMSPHARMA,SMS PHARMACEUTICALS LTD.,SMS Pharmaceuticals,ES,EQ,1.0,,,,5.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.716653,,SMSPHARMA,SMSPHARMA.NS,Healthcare,Drug Manufacturers - General,27167772672.0,Healthcare,SMALL_CAP
NSE,E,14334,INE019C01026,EQUITY,,HSCL,HIMADRI SPECIALITY CHEM L,Himadri Speciality Chemical,ES,EQ,1.0,,,,5.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.024803,,HSCL,HSCL.NS,Basic Materials,Specialty Chemicals,230085705728.0,Basic Materials,LARGE_CAP
NSE,E,14339,INE460C01014,EQUITY,,GANESHHOU,GANESH HOUSING LIMITED,Ganesh Housing,ES,EQ,1.0,,,,5.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.857143,,GANESHHOU,GANESHHOU.NS,Real Estate,Real Estate - Development,68588564480.0,Real Estate,MID_CAP
NSE,E,14346,INE998H01012,EQUITY,,ORIENTALTL,ORIENTAL TRIMEX LTD,Oriental Trimex,ES,EQ,1.0,,,,1.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,,ORIENTALTL,ORIENTALTL.NS,Industrials,Building Products & Equipment,690968256.0,Industrials,SMALL_CAP
NSE,E,14361,INE126J01016,EQUITY,,APOLLOPIPE,APOLLO PIPES LIMITED,Apollo Pipes,ES,EQ,1.0,,,,5.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.006615,,APOLLOPIPE,APOLLOPIPE.NS,Industrials,Building Products & Equipment,13305746432.0,Industrials,SMALL_CAP
NSE,E,14366,INE669E01016,EQUITY,,IDEA,VODAFONE IDEA LIMITED,Vodafone Idea,ES,EQ,1.0,,,,1.0,,N,N,N,,A,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.891009,,IDEA,IDEA.NS,Communication Services,Telecom Services,1186356264960.0,Communication Services,LARGE_CAP
